,Dataset,Source
0,Belarus,https://drive.google.com/file/d/1MinxZjUH06VMy5JXbirQxBAmmwpyc3Rk/view
1,BIMCV-COVID19+,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/
2,BRAX,https://physionet.org/content/brax/1.1.0/
3,CANDID-PTX,https://figshare.com/articles/dataset/CANDID-PTX/14173982
4,Chest x-ray disease images,https://www.kaggle.com/datasets/parsagouran/chest-xray-disease-images
5,Chest X-Rays,https://www.kaggle.com/datasets/mansibmursalin/chest-xrays
6,Chest X-Rays - Covid19 Pakistan,https://data.mendeley.com/datasets/fvp7m8c9ss
7,Chest X-Rays Dataset,https://datasetsearch.research.google.com/search?src=0&query=%22Chest%20X-Rays%20Dataset%22%20Yash%20Prakash&docid=L2cvMTFxZ3diM244Xw%3D%3D
8,CHEST-XRAY-PNEUMONIA,https://ieee-dataport.org/documents/chest-xray-pneumonia#files
9,ChestX-ray14,https://nihcc.app.box.com/v/ChestXray-NIHCC
10,ChestX-ray8,https://nihcc.app.box.com/v/ChestXray-NIHCC
11,CheXpert,https://stanfordmlgroup.github.io/competitions/chexpert/
12,COVID 19 Xray Image Dataset with Huge Samples,https://www.kaggle.com/datasets/mr3suvhro/covid-19-xray-image-dataset-with-huge-samples
13,COVID-19 AND NORMAL CHEST X-RAY,https://ieee-dataport.org/open-access/covid-19-and-normal-chest-x-ray
14,covid-19 chest x-ray detection dataset,https://www.kaggle.com/datasets/rahulmakwana/covid19-chest-xray-detection-dataset
15,COVID-19 Chest X-Ray Image Repository,https://www.kaggle.com/datasets/mdzabirulislam/covid19-chest-xray-image-repository
16,COVID-19 Chest X-ray Images,https://data.mendeley.com/datasets/xztwjmktrg/3
17,COVID-19 chest XRay images,https://datasetsearch.research.google.com/search?src=0&query=COVID-19%20chest%20XRay%20images%20M%20Amir%20Eshraghi&docid=L2cvMTFxOW42aDB4aw%3D%3D
18,COVID-19 image data collection,https://github.com/ieee8023/covid-chestxray-dataset
19,COVID-19 Image Repository: German Medical School,https://figshare.com/articles/dataset/COVID-19_Image_Repository/12275009
20,CovID-19 X-ray,https://www.kaggle.com/datasets/cagataybrk/covid19
21,Covid-19 Xray images,https://www.kaggle.com/datasets/akkinasrikar/covid19-xray-images
22,Covid-19-and-Normal-Xray,https://www.kaggle.com/datasets/muraterzurum/covid19-veri-seti
23,covid19 chest xray,https://www.kaggle.com/aaryapatel/covid19-chest-xray
24,Covid19-Pneumonia-Normal Chest X-Ray Images,https://data.mendeley.com/datasets/dvntn9yhd2
25,COVIDx dataset,https://www.nature.com/articles/s41598-020-76550-z AND https://github.com/lindawangg/COVID-Net
26,CXR Sample for Diagnosis,https://www.kaggle.com/datasets/antariksh0913/cxr-sample-for-diagnosis
27,Data for: GGAC: Multi-Relational Image Gated GCN with Attention Convolutional Binary Neural Tree for Identifying Disease with Chest X-rays,"https://drive.google.com/file/d/15fU5n7TYiQgzYwAY5sFO8wrfAJOpVUxn/view?usp=sharing, https://data.mendeley.com/datasets/4cb6vs55jm/1"
28,Detecting-COVID-19-in-X-ray-images,https://github.com/smfai200/Detecting-COVID-19-in-X-ray-images
29,India,https://data.mendeley.com/datasets/rscbjbr9sj/3
30,Indiana,https://openi.nlm.nih.gov/faq#faq-tb-coll
31,JRST,http://www.jsrt.or.jp
32,Lung Diseases X-Rays (Grayscale),https://www.kaggle.com/datasets/samuel156/lungxrays-grayscale
33,MC,https://openi.nlm.nih.gov/faq#faq-tb-coll
34,MIMIC-CXR,https://physionet.org/content/mimic-cxr/
35,NIAID TB dataset,https://tbportals.niaid.nih.gov/download-data
36,RICORD,https://pubs.rsna.org/doi/10.1148/radiol.2021203957
37,RSNA ,"RSNA pneumonia detection challenge | kaggle. [Accessed April 23], 2019. https://www.kaggle.com/c/rsna-pneumonia-detection-challenge."
38,SH,https://openi.nlm.nih.gov/faq#faq-tb-coll
39,SIIM-ACR Pneumothorax Segmentation,https://www.kaggle.com/c/siim-acr-pneumothorax-segmentation
40,SIRM,https://sirm.org/category/covid-19/
41,TBX,http://sourceforge.net/projects/tbxpredict/files/data/
42,The Stony Brook University COVID-19 Dataset on TCIA,https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=89096912
43,VinDR-CXR,https://vindr.ai/datasets/cxr
44,X-ray images three levels,https://figshare.com/articles/dataset/X-ray_images_three_levels/14755965/1
45,X-Ray Lung Image Dataset,https://www.kaggle.com/datasets/fernando2rad/x-ray-lung-diseases-images-9-classes
46,Padchest,https://bimcv.cipf.es/bimcv-projects/padchest/
47,OPENIST,http://www.chestx-ray.com/index.php/education/normal-cxr-module-train-your-eye#!1
